satisfaction_result,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Online Booking,Gate location,Food and drink,Online Check-in,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes
satisfied,Female,Frequent Flyer,33,Business travel,Business,3811,5,5,5,5,1,5,4,5,5,5,5,4,5,3,0
satisfied,Female,Frequent Flyer,65,Personal Travel,Eco Plus,1846,0,4,0,2,3,4,1,2,2,0,2,5,2,2,0
satisfied,Female,Frequent Flyer,59,Business travel,Eco,835,4,4,2,4,4,4,5,4,4,4,4,3,4,3,3
satisfied,Male,Frequent Flyer,35,Business travel,Business,2669,2,2,2,2,5,2,3,4,4,4,4,2,4,5,7
satisfied,Female,Frequent Flyer,46,Business travel,Business,3113,4,4,4,4,2,5,4,4,4,4,4,3,4,4,0
satisfied,Male,Frequent Flyer,36,Business travel,Business,2333,4,4,4,4,4,3,2,5,5,5,5,3,5,2,0
satisfied,Female,Frequent Flyer,33,Business travel,Business,236,4,4,4,4,4,2,5,5,5,5,5,5,5,3,49
satisfied,Female,Frequent Flyer,25,Business travel,Eco,680,5,5,5,5,5,5,5,5,2,1,2,1,1,5,0
satisfied,Male,Frequent Flyer,43,Business travel,Business,2677,5,5,5,5,2,2,2,5,2,3,2,2,2,2,0
satisfied,Male,Frequent Flyer,33,Business travel,Business,3332,5,5,5,5,4,4,4,4,1,2,4,5,5,4,0
satisfied,Male,Frequent Flyer,56,Business travel,Business,1535,2,2,2,2,2,4,4,5,5,5,5,4,5,3,0
satisfied,Female,Frequent Flyer,56,Business travel,Business,3320,2,2,2,2,2,5,3,4,4,5,4,1,4,3,32
satisfied,Male,Frequent Flyer,23,Business travel,Business,3573,5,5,5,5,4,4,4,4,3,1,2,3,1,4,3
satisfied,Female,Frequent Flyer,60,Business travel,Eco,351,5,5,5,5,4,5,4,5,5,5,5,5,5,5,0
satisfied,Male,Frequent Flyer,42,Business travel,Business,141,2,2,2,2,3,2,2,5,5,5,5,3,5,1,0
satisfied,Male,Frequent Flyer,49,Business travel,Business,2725,1,1,3,1,2,5,5,4,4,4,4,5,4,3,68
satisfied,Female,Frequent Flyer,42,Business travel,Business,842,1,1,1,1,4,4,5,5,5,5,5,3,5,5,1
satisfied,Male,Frequent Flyer,29,Personal Travel,Eco,583,5,5,5,2,2,5,2,2,3,5,4,3,4,2,0
satisfied,Male,Frequent Flyer,37,Business travel,Business,1626,2,2,2,2,2,4,5,4,4,4,4,4,4,5,0
satisfied,Female,Frequent Flyer,42,Business travel,Business,2333,3,3,3,3,5,3,1,5,5,5,5,2,5,3,0
satisfied,Female,Frequent Flyer,60,Business travel,Business,2583,5,5,5,5,4,4,4,5,3,4,5,4,5,4,0
satisfied,Male,Infrequent Flyer,23,Business travel,Eco,577,0,4,0,4,2,0,2,2,5,2,4,5,5,2,0
satisfied,Female,Frequent Flyer,8,Personal Travel,Eco,409,4,3,4,1,4,4,4,4,3,2,5,5,2,4,49
satisfied,Male,Frequent Flyer,31,Business travel,Business,873,4,4,4,4,5,5,5,5,5,5,4,5,5,5,3
satisfied,Female,Frequent Flyer,50,Business travel,Business,237,3,3,2,3,5,4,4,4,4,4,4,5,4,4,0
satisfied,Female,Frequent Flyer,41,Business travel,Business,1514,4,4,4,4,3,5,4,5,5,5,5,5,5,5,0
satisfied,Female,Frequent Flyer,55,Personal Travel,Eco,1481,0,5,0,3,3,4,5,2,2,0,2,4,2,3,0
satisfied,Female,Frequent Flyer,43,Business travel,Eco,674,4,4,4,4,2,3,3,4,4,4,4,5,4,4,0
satisfied,Male,Frequent Flyer,16,Business travel,Business,3963,1,1,1,1,4,4,4,4,3,2,5,5,4,4,3
satisfied,Male,Frequent Flyer,41,Business travel,Eco,489,3,3,1,1,3,3,3,3,3,1,4,1,1,3,0
satisfied,Female,Infrequent Flyer,28,Business travel,Business,1285,4,4,4,5,5,4,3,5,4,4,3,3,4,5,5
satisfied,Female,Frequent Flyer,68,Business travel,Eco Plus,201,4,1,1,1,1,1,3,4,4,4,4,4,4,5,15
satisfied,Female,Frequent Flyer,36,Business travel,Business,2689,5,5,5,5,4,1,5,4,4,4,4,3,4,3,0
satisfied,Female,Frequent Flyer,51,Business travel,Business,2159,4,4,4,4,5,1,5,5,5,5,5,4,5,3,0
satisfied,Male,Infrequent Flyer,20,Business travel,Business,204,4,0,4,3,4,4,4,4,3,4,4,4,4,4,0
satisfied,Female,Frequent Flyer,38,Business travel,Business,2504,1,1,1,1,3,4,5,5,5,5,5,4,5,4,0
satisfied,Female,Frequent Flyer,47,Business travel,Business,2440,5,5,5,5,4,4,4,4,4,4,5,4,4,3,16
satisfied,Male,Frequent Flyer,52,Business travel,Business,1884,3,3,3,3,4,4,4,5,5,5,5,4,5,5,0
satisfied,Male,Frequent Flyer,58,Business travel,Business,758,1,1,3,1,2,4,5,4,4,4,4,4,4,4,1
satisfied,Female,Infrequent Flyer,22,Business travel,Business,1171,4,0,4,3,2,4,2,2,4,4,5,5,5,2,0
satisfied,Male,Infrequent Flyer,23,Business travel,Eco,366,5,5,5,2,3,5,3,3,3,5,5,5,5,3,0
satisfied,Female,Frequent Flyer,51,Business travel,Business,2962,1,1,1,1,2,4,5,4,4,4,4,5,4,3,0
satisfied,Male,Frequent Flyer,46,Business travel,Business,2492,4,4,4,4,5,4,5,2,2,2,2,3,2,4,0
satisfied,Female,Infrequent Flyer,23,Business travel,Eco,229,5,4,5,4,3,5,3,3,3,5,5,3,5,3,0
satisfied,Male,Frequent Flyer,42,Business travel,Business,772,1,1,1,1,2,5,4,5,5,5,5,3,5,4,0
satisfied,Female,Frequent Flyer,51,Business travel,Business,1738,3,3,3,3,3,5,5,5,5,5,5,5,5,4,0
satisfied,Female,Frequent Flyer,39,Business travel,Business,448,2,2,2,2,4,5,4,5,5,5,5,4,5,5,0
satisfied,Male,Frequent Flyer,49,Business travel,Business,2868,4,4,4,4,2,4,5,5,5,5,5,3,5,5,6
satisfied,Male,Infrequent Flyer,41,Business travel,Business,1147,5,5,5,3,4,5,4,4,5,3,4,5,5,4,7
satisfied,Male,Frequent Flyer,20,Business travel,Eco,595,5,1,1,1,5,5,5,5,5,1,3,3,4,5,0
satisfied,Female,Frequent Flyer,47,Business travel,Business,1781,3,3,3,3,4,4,4,5,5,5,5,3,5,3,0
satisfied,Female,Frequent Flyer,24,Business travel,Eco,1075,4,3,3,3,4,4,4,4,3,4,2,5,5,4,5
satisfied,Male,Frequent Flyer,41,Business travel,Business,3103,5,5,3,5,5,5,4,4,4,4,4,5,4,5,5
satisfied,Male,Frequent Flyer,57,Business travel,Business,3653,4,4,5,4,4,5,5,2,2,2,2,4,2,3,124
satisfied,Male,Frequent Flyer,51,Business travel,Business,2475,4,4,4,4,5,5,5,3,3,5,5,5,3,5,8
satisfied,Male,Frequent Flyer,41,Business travel,Business,135,2,2,4,2,3,5,4,4,4,4,4,3,4,3,0
satisfied,Female,Frequent Flyer,57,Business travel,Business,3904,2,4,2,2,5,4,4,4,4,4,4,3,4,4,0
satisfied,Male,Frequent Flyer,55,Business travel,Eco,834,5,3,5,3,5,5,5,5,1,4,3,3,4,5,15
satisfied,Female,Frequent Flyer,37,Business travel,Business,1940,2,2,2,2,2,4,4,4,4,4,4,5,4,3,0
satisfied,Male,Frequent Flyer,48,Business travel,Business,1652,3,3,3,3,3,5,4,5,5,5,5,5,5,4,17
satisfied,Male,Frequent Flyer,36,Business travel,Business,127,0,5,0,4,3,1,3,1,1,1,1,1,1,1,0
satisfied,Male,Frequent Flyer,46,Personal Travel,Eco,602,5,4,5,2,2,5,2,2,4,2,5,5,5,2,0
satisfied,Male,Frequent Flyer,60,Business travel,Business,594,4,4,4,4,3,4,4,5,5,5,5,3,5,4,7
satisfied,Female,Frequent Flyer,53,Business travel,Business,3179,4,4,4,4,5,5,4,5,5,5,5,5,5,3,0
satisfied,Female,Frequent Flyer,53,Business travel,Eco,326,5,2,2,2,2,2,2,5,5,5,5,5,5,3,0
satisfied,Male,Frequent Flyer,27,Business travel,Business,862,1,1,1,1,5,5,5,5,5,5,4,5,4,5,0
satisfied,Female,Frequent Flyer,72,Business travel,Business,3408,3,3,3,3,4,5,4,5,5,5,5,5,5,5,6
satisfied,Female,Frequent Flyer,50,Business travel,Business,3955,2,2,2,2,4,5,5,4,4,4,4,5,4,5,59
satisfied,Female,Infrequent Flyer,22,Business travel,Eco,397,5,0,5,3,4,5,4,4,3,3,4,3,4,4,0
satisfied,Male,Frequent Flyer,69,Business travel,Business,404,4,4,4,4,4,5,5,4,4,4,4,4,4,4,0
satisfied,Male,Frequent Flyer,45,Business travel,Business,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4
satisfied,Female,Frequent Flyer,51,Business travel,Eco,300,4,1,1,1,2,2,5,4,4,4,4,2,4,1,0
satisfied,Male,Frequent Flyer,23,Business travel,Business,2935,5,5,5,5,4,4,4,4,5,1,4,1,5,4,10
satisfied,Female,Frequent Flyer,60,Business travel,Business,3315,5,5,5,5,3,5,4,3,3,3,3,4,3,4,1
satisfied,Female,Frequent Flyer,39,Business travel,Business,109,0,5,0,4,3,1,5,4,4,2,2,3,4,5,0
satisfied,Female,Frequent Flyer,31,Business travel,Business,689,1,1,1,1,5,5,5,5,3,5,4,5,5,5,0
satisfied,Female,Frequent Flyer,48,Business travel,Business,475,1,1,1,1,4,4,4,5,5,5,5,5,5,4,71
satisfied,Male,Frequent Flyer,20,Business travel,Business,954,1,1,1,1,4,4,4,4,4,2,5,4,5,4,19
satisfied,Female,Frequent Flyer,55,Business travel,Business,1139,3,1,3,3,4,4,5,5,5,5,5,3,5,4,15
satisfied,Female,Frequent Flyer,42,Business travel,Business,325,2,2,2,2,3,4,4,5,5,5,5,3,5,4,25
satisfied,Female,Infrequent Flyer,24,Business travel,Eco,844,4,4,4,3,5,4,2,5,3,2,3,3,1,5,39
satisfied,Female,Frequent Flyer,41,Business travel,Business,1516,2,2,2,2,3,4,5,5,5,5,5,3,5,5,0
satisfied,Male,Frequent Flyer,41,Business travel,Business,1882,0,0,0,4,5,4,5,1,1,1,1,5,1,3,0
satisfied,Male,Frequent Flyer,30,Business travel,Business,2523,2,2,3,2,4,4,4,4,3,3,5,3,5,4,0
satisfied,Male,Frequent Flyer,25,Business travel,Business,2902,5,5,3,5,5,5,5,5,5,2,4,1,5,5,0
satisfied,Male,Frequent Flyer,24,Business travel,Business,2691,5,5,5,5,5,5,5,5,3,3,1,3,1,5,34
satisfied,Female,Frequent Flyer,33,Business travel,Business,896,2,2,2,2,5,5,4,4,4,4,4,4,4,3,1
satisfied,Female,Frequent Flyer,47,Business travel,Business,2227,4,4,4,4,5,2,1,5,5,5,3,2,5,5,0
satisfied,Female,Frequent Flyer,56,Business travel,Business,189,0,5,0,4,5,4,4,5,5,5,5,5,5,4,111
satisfied,Female,Frequent Flyer,21,Business travel,Business,3284,4,4,4,4,5,5,5,5,5,3,4,4,4,5,0
satisfied,Female,Frequent Flyer,57,Business travel,Business,2344,0,4,0,4,3,5,4,5,5,5,5,4,5,3,0
satisfied,Male,Frequent Flyer,58,Business travel,Business,2296,4,4,4,4,5,4,4,4,4,4,4,4,4,5,0
satisfied,Male,Frequent Flyer,48,Business travel,Business,1012,5,5,5,5,5,5,5,5,5,5,5,4,5,3,29
satisfied,Male,Frequent Flyer,42,Business travel,Business,3282,1,1,1,1,3,5,4,5,5,5,5,4,5,4,3
satisfied,Male,Frequent Flyer,25,Business travel,Business,697,2,2,1,2,4,4,4,4,4,3,4,2,3,4,0
satisfied,Female,Frequent Flyer,33,Business travel,Business,2304,5,5,5,5,4,3,1,4,4,5,4,2,4,2,16
satisfied,Female,Frequent Flyer,35,Business travel,Business,1488,3,3,3,3,4,5,5,4,4,4,4,3,4,5,44
satisfied,Male,Frequent Flyer,25,Business travel,Business,2996,2,2,3,2,4,4,3,4,1,3,5,3,3,4,9
satisfied,Female,Frequent Flyer,26,Business travel,Business,1379,1,1,5,1,4,5,4,4,5,4,4,5,5,4,0
satisfied,Female,Frequent Flyer,47,Business travel,Business,2049,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0
satisfied,Female,Frequent Flyer,54,Business travel,Business,315,1,1,1,1,3,5,2,4,4,4,4,3,4,2,0
satisfied,Female,Frequent Flyer,44,Business travel,Eco,221,5,5,5,5,5,2,5,5,5,5,5,5,5,3,7
satisfied,Female,Frequent Flyer,31,Business travel,Business,1598,4,4,5,4,4,4,4,4,5,3,4,2,4,4,0
satisfied,Female,Frequent Flyer,48,Business travel,Business,3256,5,5,5,5,2,1,3,2,2,2,2,5,2,3,0
satisfied,Male,Frequent Flyer,58,Business travel,Business,2513,0,0,0,4,3,4,4,1,1,1,1,3,1,3,0
satisfied,Female,Frequent Flyer,68,Business travel,Business,305,4,4,4,4,5,3,3,4,4,4,4,3,4,2,0
satisfied,Male,Frequent Flyer,32,Business travel,Business,581,2,2,2,2,3,3,3,3,3,3,4,3,5,3,5
satisfied,Male,Frequent Flyer,44,Business travel,Business,2859,1,1,1,1,5,2,1,4,4,4,4,2,4,5,12
satisfied,Male,Frequent Flyer,41,Business travel,Business,1605,5,5,5,5,5,4,5,5,5,4,5,4,5,3,0
satisfied,Male,Frequent Flyer,40,Business travel,Business,3106,4,4,4,4,4,5,4,4,4,4,4,5,4,3,0
satisfied,Female,Infrequent Flyer,21,Business travel,Eco,844,4,3,3,3,2,3,2,2,1,4,3,5,3,2,0
satisfied,Female,Frequent Flyer,59,Business travel,Business,670,3,3,3,3,2,5,5,4,4,4,4,5,4,5,13
satisfied,Male,Frequent Flyer,43,Business travel,Business,1846,3,3,3,3,3,4,4,4,4,4,4,4,4,4,0
satisfied,Male,Frequent Flyer,29,Personal Travel,Eco,377,0,4,0,2,4,0,4,4,4,2,5,4,5,4,0
satisfied,Male,Frequent Flyer,41,Business travel,Business,2990,1,1,1,1,3,5,4,5,5,5,5,4,5,4,0
satisfied,Male,Frequent Flyer,48,Business travel,Business,429,2,2,2,2,3,4,4,5,5,5,5,5,5,4,0
satisfied,Male,Frequent Flyer,33,Business travel,Business,441,1,5,1,1,4,4,4,4,3,4,5,4,5,4,0
satisfied,Female,Frequent Flyer,38,Business travel,Business,758,3,3,3,3,1,4,5,5,5,5,5,1,5,5,20
satisfied,Male,Frequent Flyer,51,Business travel,Business,1123,4,4,1,4,5,4,4,5,5,5,5,4,5,3,0
satisfied,Female,Frequent Flyer,37,Business travel,Business,3638,3,3,3,3,2,5,4,5,5,5,4,5,5,4,0
satisfied,Female,Frequent Flyer,50,Business travel,Business,3191,4,3,4,4,3,4,5,2,2,2,2,3,2,3,0
satisfied,Male,Frequent Flyer,28,Business travel,Business,277,5,5,5,5,5,5,5,5,1,3,1,1,1,5,0
satisfied,Male,Infrequent Flyer,18,Business travel,Business,270,0,5,0,1,5,0,5,5,3,3,4,3,4,5,0
satisfied,Male,Frequent Flyer,7,Personal Travel,Eco,1037,5,5,5,5,2,5,2,2,5,5,4,5,4,2,0
satisfied,Female,Infrequent Flyer,43,Business travel,Eco,639,5,0,5,1,1,5,1,1,3,2,2,5,5,1,0
satisfied,Female,Frequent Flyer,54,Business travel,Business,2434,1,1,1,1,5,5,5,4,2,3,5,5,5,5,1
satisfied,Female,Frequent Flyer,59,Business travel,Business,1235,3,3,1,3,5,5,5,4,4,4,4,3,4,5,17
satisfied,Female,Frequent Flyer,45,Business travel,Business,2182,5,5,5,5,2,4,5,4,4,4,4,3,4,3,0
satisfied,Female,Frequent Flyer,38,Business travel,Business,1021,3,3,3,3,3,5,5,5,5,5,5,5,5,5,30
satisfied,Male,Frequent Flyer,47,Business travel,Business,102,2,2,2,2,5,4,5,4,4,4,4,3,4,3,0
satisfied,Female,Frequent Flyer,30,Business travel,Business,651,4,4,4,4,5,5,5,5,1,5,5,1,2,5,0
satisfied,Male,Frequent Flyer,26,Business travel,Business,1760,3,3,2,3,4,4,4,4,2,4,5,4,3,4,94
satisfied,Male,Frequent Flyer,26,Business travel,Business,2363,3,3,3,3,5,5,5,5,5,3,2,3,3,5,0
satisfied,Male,Frequent Flyer,51,Business travel,Business,2359,3,3,3,3,4,5,5,3,3,3,3,3,3,4,0
satisfied,Male,Frequent Flyer,40,Business travel,Business,2169,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4
satisfied,Male,Frequent Flyer,30,Business travel,Eco,616,5,1,1,1,5,5,5,5,3,5,2,2,4,5,0
satisfied,Male,Infrequent Flyer,22,Business travel,Business,674,5,0,5,2,2,5,2,2,5,5,4,3,5,2,0
satisfied,Male,Infrequent Flyer,25,Business travel,Business,721,0,5,0,2,1,0,1,1,3,5,4,3,5,1,0
satisfied,Female,Frequent Flyer,30,Business travel,Business,3874,3,3,3,3,4,4,4,4,5,3,4,3,4,4,0
satisfied,Male,Frequent Flyer,51,Business travel,Business,1516,5,5,2,5,5,4,5,4,4,4,4,4,4,3,4
satisfied,Female,Infrequent Flyer,27,Business travel,Business,1005,4,4,4,1,4,4,5,4,5,4,5,4,5,4,0
satisfied,Male,Frequent Flyer,43,Business travel,Business,888,3,3,3,3,3,5,5,5,5,5,5,4,5,4,0
satisfied,Female,Infrequent Flyer,22,Business travel,Eco,457,4,4,4,4,3,4,3,3,2,4,4,4,5,3,0
satisfied,Male,Frequent Flyer,53,Business travel,Business,1337,1,1,1,1,4,5,5,5,5,5,5,5,5,5,0
satisfied,Male,Frequent Flyer,28,Business travel,Business,2164,4,4,4,4,5,5,5,5,3,5,4,3,5,5,6
satisfied,Female,Frequent Flyer,41,Business travel,Business,2165,2,2,2,2,5,3,4,4,4,4,4,1,4,3,12
satisfied,Male,Infrequent Flyer,22,Business travel,Eco,1004,4,4,4,3,2,4,2,2,4,5,4,5,5,2,0
satisfied,Male,Frequent Flyer,28,Business travel,Eco,282,5,1,5,1,5,5,5,5,3,5,1,4,2,5,0
satisfied,Female,Frequent Flyer,45,Business travel,Business,752,4,4,4,4,3,4,4,5,5,5,5,5,5,4,11
satisfied,Male,Frequent Flyer,29,Business travel,Business,926,2,2,2,2,4,4,4,4,3,2,4,4,4,4,0
satisfied,Male,Frequent Flyer,50,Business travel,Business,2347,4,4,4,4,2,5,4,5,5,5,5,3,5,4,0
satisfied,Male,Frequent Flyer,33,Business travel,Eco,323,5,2,2,2,5,5,5,5,3,2,2,1,4,5,49
satisfied,Male,Infrequent Flyer,43,Business travel,Business,364,5,5,5,4,5,2,5,4,4,4,5,5,4,5,167
satisfied,Male,Frequent Flyer,58,Business travel,Business,3484,0,0,0,3,5,4,5,4,4,4,4,3,4,5,0
satisfied,Male,Frequent Flyer,23,Business travel,Business,1921,2,2,2,2,4,4,4,4,3,2,4,4,2,4,0
satisfied,Female,Frequent Flyer,56,Business travel,Business,447,5,5,5,5,2,4,5,4,4,4,4,4,4,3,4
satisfied,Female,Frequent Flyer,27,Business travel,Business,488,1,1,4,1,2,2,2,2,3,5,4,4,4,2,9
satisfied,Female,Frequent Flyer,44,Business travel,Business,2657,4,4,4,4,5,4,5,3,3,3,3,4,3,3,5
satisfied,Male,Frequent Flyer,30,Business travel,Eco,101,4,3,3,3,4,4,4,4,4,1,1,5,4,4,0
satisfied,Male,Frequent Flyer,22,Business travel,Eco,327,4,3,3,3,4,4,4,4,1,4,1,5,5,4,2
satisfied,Male,Frequent Flyer,56,Business travel,Business,3809,3,3,3,3,4,5,4,5,5,4,5,4,5,3,0
satisfied,Female,Frequent Flyer,13,Business travel,Business,3878,2,2,2,2,5,5,5,5,5,2,1,4,1,5,115
satisfied,Female,Frequent Flyer,50,Business travel,Business,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0
satisfied,Male,Frequent Flyer,60,Business travel,Business,764,4,4,4,4,2,5,4,4,4,4,4,4,4,5,0
satisfied,Male,Frequent Flyer,51,Business travel,Business,2563,5,5,5,5,4,5,4,4,4,5,4,3,4,5,14
satisfied,Male,Frequent Flyer,41,Business travel,Business,1785,2,2,2,2,4,5,5,5,5,5,5,4,5,5,12
satisfied,Female,Infrequent Flyer,49,Business travel,Business,296,4,4,4,1,4,4,4,4,5,5,4,5,4,4,12
satisfied,Male,Frequent Flyer,31,Business travel,Business,2939,2,2,2,2,2,3,2,2,4,5,4,4,4,2,14
satisfied,Female,Frequent Flyer,52,Business travel,Business,1598,2,2,2,2,4,3,5,4,4,5,4,3,4,3,0
satisfied,Female,Frequent Flyer,27,Business travel,Business,1218,5,5,5,5,4,4,4,4,3,2,5,4,5,4,3
satisfied,Male,Frequent Flyer,38,Business travel,Eco,224,4,3,3,3,4,4,4,4,4,5,2,2,1,4,0
satisfied,Male,Frequent Flyer,53,Business travel,Business,3401,2,2,4,2,3,5,5,5,5,5,5,3,5,3,0
satisfied,Female,Frequent Flyer,50,Business travel,Eco,120,5,1,1,1,1,5,2,5,5,5,5,3,5,2,0
satisfied,Male,Frequent Flyer,35,Business travel,Eco,1533,4,1,1,1,4,4,4,4,5,2,4,2,5,4,0
satisfied,Female,Frequent Flyer,56,Business travel,Eco Plus,515,4,5,5,5,2,1,5,4,4,4,4,1,4,4,0
satisfied,Female,Frequent Flyer,59,Business travel,Business,2083,2,2,4,2,2,5,5,4,4,4,5,4,4,3,0
satisfied,Male,Frequent Flyer,23,Business travel,Business,489,4,4,4,4,4,4,4,4,4,5,3,2,3,4,0
satisfied,Female,Frequent Flyer,49,Business travel,Business,163,5,5,5,5,1,3,4,4,4,4,5,1,4,3,0
satisfied,Male,Frequent Flyer,22,Business travel,Business,2446,5,5,5,5,5,5,5,5,4,1,1,1,2,5,0
satisfied,Male,Frequent Flyer,60,Personal Travel,Business,106,4,4,4,5,4,4,5,2,2,4,4,3,2,3,0
satisfied,Male,Frequent Flyer,23,Business travel,Business,3017,2,2,2,2,3,4,3,3,3,3,2,4,5,3,8
satisfied,Male,Frequent Flyer,50,Business travel,Eco,587,5,4,5,4,5,5,5,5,4,5,4,2,2,5,0
satisfied,Male,Frequent Flyer,47,Business travel,Business,1568,3,3,3,3,4,5,4,5,5,5,5,5,5,3,0
satisfied,Female,Frequent Flyer,60,Business travel,Business,1987,1,1,1,1,4,4,4,4,4,4,4,4,4,3,77
satisfied,Female,Frequent Flyer,55,Business travel,Business,200,1,1,1,1,4,3,4,4,4,4,5,3,4,3,37
satisfied,Female,Frequent Flyer,35,Business travel,Eco,1372,5,4,4,4,5,5,5,5,3,4,3,3,2,5,0
satisfied,Male,Frequent Flyer,21,Business travel,Business,3924,3,3,3,3,5,5,5,5,4,4,5,3,5,5,1
satisfied,Female,Frequent Flyer,42,Business travel,Eco,1147,4,5,5,5,2,5,3,4,4,4,4,4,4,2,0
satisfied,Male,Frequent Flyer,32,Business travel,Business,2053,5,5,5,5,4,4,4,4,5,2,5,3,4,4,41
satisfied,Male,Frequent Flyer,55,Business travel,Business,2242,3,3,3,3,3,5,5,4,4,4,4,5,4,3,0
satisfied,Female,Frequent Flyer,38,Business travel,Business,2253,5,5,5,5,4,4,5,5,5,5,5,5,5,3,44
satisfied,Female,Frequent Flyer,31,Business travel,Business,3411,3,3,3,3,4,4,4,3,4,5,4,4,3,4,272
satisfied,Female,Frequent Flyer,41,Business travel,Business,1754,1,1,1,1,2,5,5,4,4,4,4,5,4,3,0
satisfied,Male,Frequent Flyer,25,Business travel,Business,3722,4,4,4,4,4,4,4,4,2,4,4,3,1,4,29
satisfied,Female,Frequent Flyer,40,Business travel,Business,2052,2,2,4,2,5,3,1,2,2,2,2,2,2,5,1
satisfied,Male,Frequent Flyer,49,Personal Travel,Eco,821,0,1,0,4,2,0,1,2,1,1,3,1,4,2,0
satisfied,Female,Infrequent Flyer,26,Business travel,Business,1310,4,3,3,1,2,3,2,2,4,5,5,4,5,2,0
satisfied,Male,Frequent Flyer,59,Business travel,Eco Plus,377,5,1,1,1,5,5,5,5,4,2,1,2,2,5,97
satisfied,Female,Frequent Flyer,41,Business travel,Business,561,4,4,5,4,2,5,4,5,5,5,5,5,5,5,11
satisfied,Male,Frequent Flyer,50,Personal Travel,Eco,972,4,5,4,5,4,4,5,4,5,3,5,4,4,4,0
satisfied,Female,Frequent Flyer,46,Business travel,Eco,272,4,2,2,2,1,5,5,4,4,4,4,4,4,1,79
satisfied,Male,Frequent Flyer,45,Business travel,Business,2139,3,3,3,3,4,5,5,5,5,4,5,3,5,4,0
satisfied,Female,Infrequent Flyer,20,Business travel,Eco,280,0,5,0,2,4,0,4,4,2,5,5,4,4,4,0
satisfied,Female,Frequent Flyer,38,Business travel,Eco,288,4,1,1,1,4,4,4,4,2,2,4,1,3,4,10
satisfied,Female,Frequent Flyer,78,Business travel,Business,1531,0,5,1,3,3,4,3,2,2,2,4,2,2,2,0
satisfied,Male,Frequent Flyer,42,Business travel,Business,150,5,5,5,5,4,4,1,4,4,4,4,3,4,3,0
satisfied,Female,Infrequent Flyer,21,Business travel,Eco,2399,4,4,4,2,4,4,4,4,5,2,5,4,5,4,13
satisfied,Male,Frequent Flyer,53,Business travel,Business,1436,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0
satisfied,Male,Frequent Flyer,28,Business travel,Business,2586,2,2,2,2,5,5,5,4,2,4,4,5,5,5,10
satisfied,Male,Frequent Flyer,26,Business travel,Business,3434,0,4,0,5,1,1,1,1,4,2,4,4,2,1,0
satisfied,Female,Frequent Flyer,39,Business travel,Business,1514,3,3,5,3,5,4,5,4,4,4,4,5,4,4,0
satisfied,Male,Frequent Flyer,54,Business travel,Business,1007,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0
satisfied,Female,Frequent Flyer,47,Business travel,Business,2642,3,3,3,3,2,5,5,5,5,5,5,5,5,3,0
satisfied,Male,Infrequent Flyer,26,Business travel,Eco,628,5,0,5,3,5,5,5,5,3,1,5,4,5,5,21
satisfied,Female,Frequent Flyer,33,Business travel,Business,2722,2,5,2,2,4,4,2,2,2,2,2,4,2,5,25
satisfied,Male,Frequent Flyer,44,Business travel,Business,3341,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0
satisfied,Female,Infrequent Flyer,48,Business travel,Business,606,4,4,4,5,4,4,1,4,5,3,5,3,5,4,0
satisfied,Female,Infrequent Flyer,47,Business travel,Eco,139,4,4,4,2,4,4,4,4,4,2,4,3,1,4,0
satisfied,Male,Frequent Flyer,28,Business travel,Business,1744,1,1,1,1,4,4,4,4,4,3,3,4,5,4,6
satisfied,Male,Frequent Flyer,51,Business travel,Business,2704,4,4,4,4,5,5,5,3,4,3,4,5,4,5,60
satisfied,Female,Frequent Flyer,55,Business travel,Eco,125,4,4,4,4,2,1,4,4,4,4,4,5,4,5,0
satisfied,Male,Frequent Flyer,48,Business travel,Business,1547,3,3,3,3,2,5,5,4,4,5,4,5,4,5,0
satisfied,Male,Frequent Flyer,55,Business travel,Business,3664,2,2,2,2,2,4,5,5,5,5,4,3,5,3,88
satisfied,Female,Frequent Flyer,37,Business travel,Business,2475,4,4,4,4,3,4,4,4,4,4,4,4,4,5,17
satisfied,Female,Frequent Flyer,51,Business travel,Business,1794,2,2,2,2,4,4,4,4,4,4,4,5,4,3,13
satisfied,Female,Frequent Flyer,52,Business travel,Business,1620,1,1,1,1,5,4,4,2,2,2,2,4,2,4,18
satisfied,Female,Infrequent Flyer,23,Business travel,Business,1440,0,5,0,4,3,0,3,3,4,5,4,4,5,3,0
satisfied,Male,Frequent Flyer,49,Business travel,Business,1957,4,4,4,4,5,5,4,4,4,4,4,4,4,5,9
satisfied,Female,Frequent Flyer,36,Business travel,Business,2474,1,1,1,1,3,5,4,5,5,5,4,5,5,5,0
satisfied,Female,Frequent Flyer,44,Business travel,Business,2178,5,5,5,5,4,5,5,5,5,5,5,5,5,4,0
